原字,类型,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
བསྒྲིགས,藏文字符,བ,ས,ྒ,ྲ,,ི,ག,ས
བསྒྱོད,藏文字符,བ,ས,ྒ,ྱ,,ོ,ད,
བསྒྱོན,藏文字符,བ,ས,ྒ,ྱ,,ོ,ན,
བསྒྱོབ,藏文字符,བ,ས,ྒ,ྱ,,ོ,བ,
བསྒྱོམ,藏文字符,བ,ས,ྒ,ྱ,,ོ,མ,
བསྒྱོར,藏文字符,བ,ས,ྒ,ྱ,,ོ,ར,
བསྒྱོལ,藏文字符,བ,ས,ྒ,ྱ,,ོ,ལ,
བསྒྱོས,藏文字符,བ,ས,ྒ,ྱ,,ོ,ས,
བསྐྲག,藏文字符,བ,ས,ྐ,ྲ,,,ག,
བསྐྲང,藏文字符,བ,ས,ྐ,ྲ,,,ང,
བསྐྲད,藏文字符,བ,ས,ྐ,ྲ,,,ད,
བསྐྲན,藏文字符,བ,ས,ྐ,ྲ,,,ན,
བསྐྲབ,藏文字符,བ,ས,ྐ,ྲ,,,བ,
བསྐྲམ,藏文字符,བ,ས,ྐ,ྲ,,,མ,
བསྐྲར,藏文字符,བ,ས,ྐ,ྲ,,,ར,
བསྐྲལ,藏文字符,བ,ས,ྐ,ྲ,,,ལ,
བསྐྲས,藏文字符,བ,ས,ྐ,ྲ,,,ས,
བསྐྲིག,藏文字符,བ,ས,ྐ,ྲ,,ི,ག,
བསྐྲིང,藏文字符,བ,ས,ྐ,ྲ,,ི,ང,
བསྐྲིད,藏文字符,བ,ས,ྐ,ྲ,,ི,ད,
བསྐྲིན,藏文字符,བ,ས,ྐ,ྲ,,ི,ན,
བསྐྲིབ,藏文字符,བ,ས,ྐ,ྲ,,ི,བ,
བསྐྲིམ,藏文字符,བ,ས,ྐ,ྲ,,ི,མ,
བསྐྲིར,藏文字符,བ,ས,ྐ,ྲ,,ི,ར,
བསྐྲིལ,藏文字符,བ,ས,ྐ,ྲ,,ི,ལ,
བསྐྲིས,藏文字符,བ,ས,ྐ,ྲ,,ི,ས,
བསྐྲུག,藏文字符,བ,ས,ྐ,ྲ,,ུ,ག,
བསྐྲུང,藏文字符,བ,ས,ྐ,ྲ,,ུ,ང,
བསྐྲུད,藏文字符,བ,ས,ྐ,ྲ,,ུ,ད,
བསྐྲུན,藏文字符,བ,ས,ྐ,ྲ,,ུ,ན,
བསྐྲུབ,藏文字符,བ,ས,ྐ,ྲ,,ུ,བ,
བསྐྲུམ,藏文字符,བ,ས,ྐ,ྲ,,ུ,མ,
བསྐྲུར,藏文字符,བ,ས,ྐ,ྲ,,ུ,ར,
བསྐྲུལ,藏文字符,བ,ས,ྐ,ྲ,,ུ,ལ,
བསྐྲུས,藏文字符,བ,ས,ྐ,ྲ,,ུ,ས,
བསྐྲེག,藏文字符,བ,ས,ྐ,ྲ,,ེ,ག,
བསྐྲེང,藏文字符,བ,ས,ྐ,ྲ,,ེ,ང,
བསྐྲེད,藏文字符,བ,ས,ྐ,ྲ,,ེ,ད,
བསྐྲེན,藏文字符,བ,ས,ྐ,ྲ,,ེ,ན,
བསྐྲེབ,藏文字符,བ,ས,ྐ,ྲ,,ེ,བ,
བསྐྲེམ,藏文字符,བ,ས,ྐ,ྲ,,ེ,མ,
བསྐྲེར,藏文字符,བ,ས,ྐ,ྲ,,ེ,ར,
བསྐྲེལ,藏文字符,བ,ས,ྐ,ྲ,,ེ,ལ,
བསྐྲེས,藏文字符,བ,ས,ྐ,ྲ,,ེ,ས,
བསྐྲོག,藏文字符,བ,ས,ྐ,ྲ,,ོ,ག,
བསྐྲོང,藏文字符,བ,ས,ྐ,ྲ,,ོ,ང,
བསྐྲོད,藏文字符,བ,ས,ྐ,ྲ,,ོ,ད,
བསྐྲོན,藏文字符,བ,ས,ྐ,ྲ,,ོ,ན,
བསྐྲོབ,藏文字符,བ,ས,ྐ,ྲ,,ོ,བ,
བསྐྲོམ,藏文字符,བ,ས,ྐ,ྲ,,ོ,མ,
བསྐྲོར,藏文字符,བ,ས,ྐ,ྲ,,ོ,ར,
བསྐྲོལ,藏文字符,བ,ས,ྐ,ྲ,,ོ,ལ,
བསྐྲོས,藏文字符,བ,ས,ྐ,ྲ,,ོ,ས,
བསྒྲག,藏文字符,བ,ས,ྒ,ྲ,,,ག,
བསྒྲང,藏文字符,བ,ས,ྒ,ྲ,,,ང,
བསྒྲད,藏文字符,བ,ས,ྒ,ྲ,,,ད,
བསྒྲན,藏文字符,བ,ས,ྒ,ྲ,,,ན,
བསྒྲབ,藏文字符,བ,ས,ྒ,ྲ,,,བ,
བསྒྲམ,藏文字符,བ,ས,ྒ,ྲ,,,མ,
བསྒྲར,藏文字符,བ,ས,ྒ,ྲ,,,ར,
བསྒྲལ,藏文字符,བ,ས,ྒ,ྲ,,,ལ,
བསྒྲས,藏文字符,བ,ས,ྒ,ྲ,,,ས,
བསྒྲིག,藏文字符,བ,ས,ྒ,ྲ,,ི,ག,
བསྒྲིང,藏文字符,བ,ས,ྒ,ྲ,,ི,ང,
བསྒྲིད,藏文字符,བ,ས,ྒ,ྲ,,ི,ད,
བསྒྲིན,藏文字符,བ,ས,ྒ,ྲ,,ི,ན,
བསྒྲིབ,藏文字符,བ,ས,ྒ,ྲ,,ི,བ,
བསྒྲིམ,藏文字符,བ,ས,ྒ,ྲ,,ི,མ,
བསྒྲིར,藏文字符,བ,ས,ྒ,ྲ,,ི,ར,
བསྒྲིལ,藏文字符,བ,ས,ྒ,ྲ,,ི,ལ,
བསྒྲིས,藏文字符,བ,ས,ྒ,ྲ,,ི,ས,
བསྒྲུག,藏文字符,བ,ས,ྒ,ྲ,,ུ,ག,
བསྒྲུང,藏文字符,བ,ས,ྒ,ྲ,,ུ,ང,
བསྒྲུད,藏文字符,བ,ས,ྒ,ྲ,,ུ,ད,
བསྒྲུན,藏文字符,བ,ས,ྒ,ྲ,,ུ,ན,
བསྒྲུབ,藏文字符,བ,ས,ྒ,ྲ,,ུ,བ,
བསྒྲུམ,藏文字符,བ,ས,ྒ,ྲ,,ུ,མ,
བསྒྲུར,藏文字符,བ,ས,ྒ,ྲ,,ུ,ར,
བསྒྲུལ,藏文字符,བ,ས,ྒ,ྲ,,ུ,ལ,
བསྒྲུས,藏文字符,བ,ས,ྒ,ྲ,,ུ,ས,
བསྒྲེག,藏文字符,བ,ས,ྒ,ྲ,,ེ,ག,
བསྒྲེང,藏文字符,བ,ས,ྒ,ྲ,,ེ,ང,
བསྒྲེད,藏文字符,བ,ས,ྒ,ྲ,,ེ,ད,
བསྒྲེན,藏文字符,བ,ས,ྒ,ྲ,,ེ,ན,
བསྒྲེབ,藏文字符,བ,ས,ྒ,ྲ,,ེ,བ,
བསྒྲེམ,藏文字符,བ,ས,ྒ,ྲ,,ེ,མ,
བསྒྲེར,藏文字符,བ,ས,ྒ,ྲ,,ེ,ར,
བསྒྲེལ,藏文字符,བ,ས,ྒ,ྲ,,ེ,ལ,
བསྒྲེས,藏文字符,བ,ས,ྒ,ྲ,,ེ,ས,
བསྒྲོག,藏文字符,བ,ས,ྒ,ྲ,,ོ,ག,
བསྒྲོང,藏文字符,བ,ས,ྒ,ྲ,,ོ,ང,
བསྒྲོད,藏文字符,བ,ས,ྒ,ྲ,,ོ,ད,
བསྒྲོན,藏文字符,བ,ས,ྒ,ྲ,,ོ,ན,
བསྒྲོབ,藏文字符,བ,ས,ྒ,ྲ,,ོ,བ,
བསྒྲོམ,藏文字符,བ,ས,ྒ,ྲ,,ོ,མ,
བསྒྲོར,藏文字符,བ,ས,ྒ,ྲ,,ོ,ར,
བསྒྲོལ,藏文字符,བ,ས,ྒ,ྲ,,ོ,ལ,
བསྒྲོས,藏文字符,བ,ས,ྒ,ྲ,,ོ,ས,
ཀྭག,藏文字符,,,ཀ,ྭ,,,ག,
ཀྭང,藏文字符,,,ཀ,ྭ,,,ང,
ཀྭད,藏文字符,,,ཀ,ྭ,,,ད,
ཀྭན,藏文字符,,,ཀ,ྭ,,,ན,
ཀྭབ,藏文字符,,,ཀ,ྭ,,,བ,
ཀྭམ,藏文字符,,,ཀ,ྭ,,,མ,
ཀྭར,藏文字符,,,ཀ,ྭ,,,ར,
ཀྭལ,藏文字符,,,ཀ,ྭ,,,ལ,
ཀྭས,藏文字符,,,ཀ,ྭ,,,ས,
ཀྭིག,藏文字符,,,ཀ,ྭ,,ི,ག,
ཀྭིང,藏文字符,,,ཀ,ྭ,,ི,ང,
ཀྭིད,藏文字符,,,ཀ,ྭ,,ི,ད,
ཀྭིན,藏文字符,,,ཀ,ྭ,,ི,ན,
ཀྭིབ,藏文字符,,,ཀ,ྭ,,ི,བ,
ཀྭིམ,藏文字符,,,ཀ,ྭ,,ི,མ,
ཀྭིར,藏文字符,,,ཀ,ྭ,,ི,ར,
ཀྭིལ,藏文字符,,,ཀ,ྭ,,ི,ལ,
ཀྭིས,藏文字符,,,ཀ,ྭ,,ི,ས,
ཀྭེབ,藏文字符,,,ཀ,ྭ,,ེ,བ,
ཀྭེམ,藏文字符,,,ཀ,ྭ,,ེ,མ,
ཀྭེར,藏文字符,,,ཀ,ྭ,,ེ,ར,
ཀྭེལ,藏文字符,,,ཀ,ྭ,,ེ,ལ,
ཀྭེས,藏文字符,,,ཀ,ྭ,,ེ,ས,
ཀྭོག,藏文字符,,,ཀ,ྭ,,ོ,ག,
ཀྭོང,藏文字符,,,ཀ,ྭ,,ོ,ང,
ཀྭོད,藏文字符,,,ཀ,ྭ,,ོ,ད,
ཀྭོན,藏文字符,,,ཀ,ྭ,,ོ,ན,
ཀྭོབ,藏文字符,,,ཀ,ྭ,,ོ,བ,
