原字,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
ཀ,,,ཀ,,,,,
ཀི,,,ཀ,,,ི,,
ཀུ,,,ཀ,,,ུ,,
ཀེ,,,ཀ,,,ེ,,
ཀོ,,,ཀ,,,ོ,,
ཁ,,,ཁ,,,,,
ཁི,,,ཁ,,,ི,,
ཁུ,,,ཁ,,,ུ,,
ཁེ,,,ཁ,,,ེ,,
ཁོ,,,ཁ,,,ོ,,
ག,,,ག,,,,,
གི,,,ག,,,ི,,
གུ,,,ག,,,ུ,,
གེ,,,ག,,,ེ,,
གོ,,,ག,,,ོ,,
ང,,,ང,,,,,
ངི,,,ང,,,ི,,
ངུ,,,ང,,,ུ,,
ངེ,,,ང,,,ེ,,
ངོ,,,ང,,,ོ,,
ཅ,,,ཅ,,,,,
ཅི,,,ཅ,,,ི,,
ཅུ,,,ཅ,,,ུ,,
ཅེ,,,ཅ,,,ེ,,
ཅོ,,,ཅ,,,ོ,,
ཆ,,,ཆ,,,,,
ཆི,,,ཆ,,,ི,,
ཆུ,,,ཆ,,,ུ,,
ཆེ,,,ཆ,,,ེ,,
ཆོ,,,ཆ,,,ོ,,
ཇ,,,ཇ,,,,,
ཇི,,,ཇ,,,ི,,
ཇུ,,,ཇ,,,ུ,,
ཇེ,,,ཇ,,,ེ,,
ཇོ,,,ཇ,,,ོ,,
ཉ,,,ཉ,,,,,
ཉི,,,ཉ,,,ི,,
ཉུ,,,ཉ,,,ུ,,
ཉེ,,,ཉ,,,ེ,,
ཉོ,,,ཉ,,,ོ,,
ཏ,,,ཏ,,,,,
ཏི,,,ཏ,,,ི,,
ཏུ,,,ཏ,,,ུ,,
ཏེ,,,ཏ,,,ེ,,
ཏོ,,,ཏ,,,ོ,,
ཐ,,,ཐ,,,,,
ཐི,,,ཐ,,,ི,,
ཐུ,,,ཐ,,,ུ,,
ཐེ,,,ཐ,,,ེ,,
ཐོ,,,ཐ,,,ོ,,
ད,,,ད,,,,,
དི,,,ད,,,ི,,
དུ,,,ད,,,ུ,,
དེ,,,ད,,,ེ,,
དོ,,,ད,,,ོ,,
ན,,,ན,,,,,
ནི,,,ན,,,ི,,
ནུ,,,ན,,,ུ,,
ནེ,,,ན,,,ེ,,
ནོ,,,ན,,,ོ,,
པ,,,པ,,,,,
པི,,,པ,,,ི,,
པུ,,,པ,,,ུ,,
པེ,,,པ,,,ེ,,
པོ,,,པ,,,ོ,,
ཕ,,,ཕ,,,,,
ཕི,,,ཕ,,,ི,,
ཕུ,,,ཕ,,,ུ,,
ཕེ,,,ཕ,,,ེ,,
ཕོ,,,ཕ,,,ོ,,
བ,,,བ,,,,,
བི,,,བ,,,ི,,
བུ,,,བ,,,ུ,,
བེ,,,བ,,,ེ,,
བོ,,,བ,,,ོ,,
མ,,,མ,,,,,
མི,,,མ,,,ི,,
མུ,,,མ,,,ུ,,
མེ,,,མ,,,ེ,,
མོ,,,མ,,,ོ,,
ཙ,,,ཙ,,,,,
ཙི,,,ཙ,,,ི,,
ཙུ,,,ཙ,,,ུ,,
ཙེ,,,ཙ,,,ེ,,
ཙོ,,,ཙ,,,ོ,,
ཚ,,,ཚ,,,,,
ཚི,,,ཚ,,,ི,,
ཚུ,,,ཚ,,,ུ,,
ཚེ,,,ཚ,,,ེ,,
ཚོ,,,ཚ,,,ོ,,
ཛ,,,ཛ,,,,,
ཛི,,,ཛ,,,ི,,
ཛུ,,,ཛ,,,ུ,,
ཛེ,,,ཛ,,,ེ,,
ཛོ,,,ཛ,,,ོ,,
ཝ,,,ཝ,,,,,
ཝི,,,ཝ,,,ི,,
ཝུ,,,ཝ,,,ུ,,
ཝེ,,,ཝ,,,ེ,,
ཝོ,,,ཝ,,,ོ,,
ཞ,,,ཞ,,,,,
ཞི,,,ཞ,,,ི,,
ཞུ,,,ཞ,,,ུ,,
ཞེ,,,ཞ,,,ེ,,
ཞོ,,,ཞ,,,ོ,,
ཟ,,,ཟ,,,,,
ཟི,,,ཟ,,,ི,,
ཟུ,,,ཟ,,,ུ,,
ཟེ,,,ཟ,,,ེ,,
ཟོ,,,ཟ,,,ོ,,
འ,,,འ,,,,,
འི,,,འ,,,ི,,
འུ,,,འ,,,ུ,,
འེ,,,འ,,,ེ,,
འོ,,,འ,,,ོ,,
ཡ,,,ཡ,,,,,
ཡི,,,ཡ,,,ི,,
ཡུ,,,ཡ,,,ུ,,
ཡེ,,,ཡ,,,ེ,,
ཡོ,,,ཡ,,,ོ,,
ར,,,ར,,,,,
རི,,,ར,,,ི,,
རུ,,,ར,,,ུ,,
རེ,,,ར,,,ེ,,
རོ,,,ར,,,ོ,,
ལ,,,ལ,,,,,
ལི,,,ལ,,,ི,,
ལུ,,,ལ,,,ུ,,
ལེ,,,ལ,,,ེ,,
ལོ,,,ལ,,,ོ,,
ཤ,,,ཤ,,,,,
ཤི,,,ཤ,,,ི,,
ཤུ,,,ཤ,,,ུ,,
ཤེ,,,ཤ,,,ེ,,
ཤོ,,,ཤ,,,ོ,,
ས,,,ས,,,,,
སི,,,ས,,,ི,,
སུ,,,ས,,,ུ,,
སེ,,,ས,,,ེ,,
སོ,,,ས,,,ོ,,
ཧ,,,ཧ,,,,,
ཧི,,,ཧ,,,ི,,
ཧུ,,,ཧ,,,ུ,,
ཧེ,,,ཧ,,,ེ,,
ཧོ,,,ཧ,,,ོ,,
ཨ,,,ཨ,,,,,
ཨི,,,ཨ,,,ི,,
ཨུ,,,ཨ,,,ུ,,
ཨེ,,,ཨ,,,ེ,,
ཨོ,,,ཨ,,,ོ,,
རྐ,,ར,ྐ,,,,,
རྐི,,ར,ྐ,,,ི,,
རྐུ,,ར,ྐ,,,ུ,,
རྐེ,,ར,ྐ,,,ེ,,
རྐོ,,ར,ྐ,,,ོ,,
རྒ,,ར,ྒ,,,,,
རྒི,,ར,ྒ,,,ི,,
རྒུ,,ར,ྒ,,,ུ,,
རྒེ,,ར,ྒ,,,ེ,,
རྒོ,,ར,ྒ,,,ོ,,
རྔ,,ར,ྔ,,,,,
རྔི,,ར,ྔ,,,ི,,
རྔུ,,ར,ྔ,,,ུ,,
རྔེ,,ར,ྔ,,,ེ,,
རྔོ,,ར,ྔ,,,ོ,,
རྗ,,ར,ྗ,,,,,
རྗི,,ར,ྗ,,,ི,,
རྗུ,,ར,ྗ,,,ུ,,
རྗེ,,ར,ྗ,,,ེ,,
རྗོ,,ར,ྗ,,,ོ,,
རྙ,,ར,ྙ,,,,,
རྙི,,ར,ྙ,,,ི,,
རྙུ,,ར,ྙ,,,ུ,,
རྙེ,,ར,ྙ,,,ེ,,
རྙོ,,ར,ྙ,,,ོ,,
རྟ,,ར,ྟ,,,,,
རྟི,,ར,ྟ,,,ི,,
རྟུ,,ར,ྟ,,,ུ,,
རྟེ,,ར,ྟ,,,ེ,,
རྟོ,,ར,ྟ,,,ོ,,
རྡ,,ར,ྡ,,,,,
རྡི,,ར,ྡ,,,ི,,
རྡུ,,ར,ྡ,,,ུ,,
རྡེ,,ར,ྡ,,,ེ,,
རྡོ,,ར,ྡ,,,ོ,,
རྣ,,ར,ྣ,,,,,
རྣི,,ར,ྣ,,,ི,,
རྣུ,,ར,ྣ,,,ུ,,
རྣེ,,ར,ྣ,,,ེ,,
རྣོ,,ར,ྣ,,,ོ,,
རྦ,,ར,ྦ,,,,,
རྦི,,ར,ྦ,,,ི,,
