============================================================
藏文音节统计分析结果
============================================================

处理时间: 0.201 秒
总字符数: 21,398
音节总数: 5,194
唯一音节: 652

音节                   频次         占比        
----------------------------------------
དང                   185        3.56%
པ                    115        2.21%
ཀྱི                  106        2.04%
ཀྲུང                 87         1.68%
གྱི                  85         1.64%
ལ                    75         1.44%
ཤེས                  67         1.29%
ནས                   65         1.25%
བ                    64         1.23%
དཔལ                  63         1.21%
བྱེད                 62         1.19%
པའི                  55         1.06%
ལས                   50         0.96%
ཞིབ                  48         0.92%
རིག                  46         0.89%
མི                   44         0.85%
གསར                  43         0.83%
བྱས                  42         0.81%
རང                   39         0.75%
གནས                  39         0.75%
ཧྭའི                 38         0.73%
རེད                  37         0.71%
འཛིན                 36         0.69%
འཕེལ                 36         0.69%
དགོས                 35         0.67%
པར                   35         0.67%
རྒྱལ                 34         0.65%
དུ                   34         0.65%
རྒྱས                 34         0.65%
གིས                  33         0.64%
བཅས                  33         0.64%
ཡོད                  32         0.62%
ལོ                   32         0.62%
དོན                  32         0.62%
གི                   31         0.60%
ཞི                   31         0.60%
གཏོང                 29         0.56%
ཆེན                  29         0.56%
ལག                   29         0.56%
ཅིན                  29         0.56%
པོ                   29         0.56%
ཕིང                  29         0.56%
དེ                   28         0.54%
ཁུལ                  28         0.54%
གནང                  28         0.54%
བའི                  28         0.54%
རྩལ                  27         0.52%
ཐོན                  27         0.52%
རྒྱུན                27         0.52%
ཚན                   25         0.48%
གཞི                  25         0.48%
སྡེ                  23         0.44%
གཏོད                 23         0.44%
ཞིག                  22         0.42%
སྐུལ                 22         0.42%
ཏེ                   21         0.40%
སྤེལ                 21         0.40%
རྒྱུས                21         0.40%
མང                   21         0.40%
འཇུག                 21         0.40%
ནི                   20         0.39%
རིགས                 20         0.39%
ཁུངས                 19         0.37%
ཚོགས                 19         0.37%
ཏང                   18         0.35%
རིམས                 18         0.35%
ཡིན                  18         0.35%
སྤྱི                 18         0.35%
གོའི                 17         0.33%
རིམ                  17         0.33%
རིང                  17         0.33%
ཚོད                  17         0.33%
རྣམ                  16         0.31%
འབྱུང                16         0.31%
འདེད                 16         0.31%
གྲུབ                 16         0.31%
དངོས                 16         0.31%
ནད                   16         0.31%
བས                   16         0.31%
འགོག                 16         0.31%
ཆ                    15         0.29%
མེད                  15         0.29%
བྱུང                 15         0.29%
ལེགས                 15         0.29%
བཤད                  15         0.29%
ང                    14         0.27%
ལྡན                  14         0.27%
དམངས                 14         0.27%
ཚད                   14         0.27%
སྔོན                 14         0.27%
ཟབ                   14         0.27%
རྒྱུ                 14         0.27%
ཕྱོགས                14         0.27%
ཆེ                   14         0.27%
མཐའ                  13         0.25%
ཀྱིས                 13         0.25%
འདུ                  13         0.25%
ཧྭ                   13         0.25%
བརྟེན                13         0.25%
སྐྱོང                13         0.25%
གལ                   13         0.25%
ནུས                  13         0.25%
པས                   13         0.25%
བཞིན                 13         0.25%
ཤུགས                 13         0.25%
འཁྱོངས               12         0.23%
གོ                   12         0.23%
འཛུགས                12         0.23%
འགོད                 12         0.23%
མངོན                 12         0.23%
འཚོལ                 12         0.23%
ལུགས                 12         0.23%
ཁབ                   12         0.23%
རྩ                   12         0.23%
སྲོལ                 12         0.23%
མ                    12         0.23%
ནན                   12         0.23%
ཚང                   11         0.21%
ས                    11         0.21%
ཚུལ                  11         0.21%
ཁྱབ                  11         0.21%
བསམ                  11         0.21%
འབྱོར                11         0.21%
འཐབ                  11         0.21%
ཐུབ                  11         0.21%
ལེན                  11         0.21%
བར                   11         0.21%
ཁ                    10         0.19%
ངང                   10         0.19%
གྲོང                 10         0.19%
ཇུས                  10         0.19%
ཡོང                  10         0.19%
ཝུའུ                 10         0.19%
ལམ                   10         0.19%
སོགས                 10         0.19%
འབྲས                 10         0.19%
ཧན                   10         0.19%
འབྲེལ                10         0.19%
ཕུལ                  10         0.19%
འགྱུར                10         0.19%
ངེས                  9          0.17%
སྟོབས                9          0.17%
ཏུ                   9          0.17%
རེ                   9          0.17%
ཐང                   9          0.17%
ཚོས                  9          0.17%
འོད                  9          0.17%
ཅན                   9          0.17%
བརྟན                 9          0.17%
སྲིད                 9          0.17%
རྗེས                 9          0.17%
སྒོ                  9          0.17%
ཙམ                   9          0.17%
ཁེ                   9          0.17%
ཁང                   8          0.15%
གང                   8          0.15%
ཐབས                  8          0.15%
གླིང                 8          0.15%
ཁྱད                  8          0.15%
བཞག                  8          0.15%
བསྟུན                8          0.15%
སྐབས                 8          0.15%
ཆོས                  8          0.15%
གཏིང                 8          0.15%
གནའ                  8          0.15%
མཐུན                 8          0.15%
ལྷག                  8          0.15%
རྫས                  8          0.15%
བྱ                   8          0.15%
ལྟ                   8          0.15%
རྒྱ                  8          0.15%
རྟོགས                8          0.15%
གསལ                  8          0.15%
འདོན                 8          0.15%
གནད                  8          0.15%
བློ                  8          0.15%
དབྱང                 8          0.15%
བཏང                  8          0.15%
འཛམ                  8          0.15%
ཕན                   8          0.15%
སྲུང                 7          0.13%
གཅིག                 7          0.13%
རབས                  7          0.13%
ཡག                   7          0.13%
ཤུལ                  7          0.13%
སྔར                  7          0.13%
ཧུའུ                 7          0.13%
མཐོ                  7          0.13%
གློག                 7          0.13%
བསྐྱར                7          0.13%
ངོས                  7          0.13%
ཡོངས                 7          0.13%
ཐོག                  7          0.13%
ནང                   7          0.13%
བརྒྱུད               7          0.13%
གཞུང                 7          0.13%
